ligand,target,activity,minuslog_activity
CHEMBL116438,CHEMBL205,380.0,6.42021640338319
CHEMBL116438,CHEMBL215,3900.0,5.4089353929735005
CHEMBL116438,CHEMBL221,8100.0,5.0915149811213505
CHEMBL116438,CHEMBL2326,9300.0,5.031517051446065
CHEMBL116438,CHEMBL261,2410.0,5.617982957425132
CHEMBL116438,CHEMBL2903,1200.0,5.920818753952375
CHEMBL116438,CHEMBL3025,9940.0,5.002613615602686
CHEMBL116438,CHEMBL321,8500.0,5.070581074285707
CHEMBL116438,CHEMBL3242,3480.0,5.458420756053419
CHEMBL116438,CHEMBL3594,4050.0,5.392544976785332
CHEMBL116438,CHEMBL3729,4970.0,5.303643611266668
CHEMBL116438,CHEMBL3912,6850.0,5.164309428507575
CHEMBL116438,CHEMBL3969,9460.0,5.024108863598207
CHEMBL116438,CHEMBL4481,6000.0,5.221848749616356
CHEMBL116438,CHEMBL4822,5300.0,5.275724130399211
CHEMBL116438,CHEMBL5658,1200.0,5.920818753952375
CHEMBL1164729,CHEMBL1929,13.0,7.886056647693163
CHEMBL1166,CHEMBL204,1580.0,5.801342913045578
CHEMBL1170,CHEMBL1871,18.0,7.7447274948966935
CHEMBL1171754,CHEMBL264,1.4,8.853871964321762
CHEMBL1171837,CHEMBL1862,8.6,8.065501548756432
CHEMBL1171837,CHEMBL1913,1.2,8.920818753952375
CHEMBL1171837,CHEMBL1936,136.0,6.866461091629782
CHEMBL1171837,CHEMBL1974,0.3,9.522878745280337
CHEMBL1171837,CHEMBL2007,2.6,8.585026652029182
CHEMBL1171837,CHEMBL2041,33.9,7.4698003017969175
CHEMBL1171837,CHEMBL267,3.0,8.522878745280337
CHEMBL1171837,CHEMBL2742,18.0,7.7447274948966935
CHEMBL1171837,CHEMBL279,4.3,8.366531544420413
CHEMBL1171837,CHEMBL3650,2.2,8.657577319177793
CHEMBL1171837,CHEMBL3905,0.24,9.619788758288394
CHEMBL1171837,CHEMBL3973,8.0,8.096910013008056
CHEMBL1171837,CHEMBL4142,2.0,8.698970004336019
CHEMBL1171837,CHEMBL5014,6.7,8.173925197299173
CHEMBL1171837,CHEMBL5464,12.0,7.920818753952375
CHEMBL1172,CHEMBL231,1.84,8.735182176990463
CHEMBL117287,CHEMBL1875,26.0,7.585026652029182
CHEMBL1172928,CHEMBL222,9900.0,5.00436480540245
CHEMBL1172928,CHEMBL228,387.0,6.412289034981089
CHEMBL1172928,CHEMBL238,220.0,6.657577319177793
CHEMBL1173055,CHEMBL3105,302.0,6.519993057042849
CHEMBL1173055,CHEMBL5083,512.0,6.29073003902417
CHEMBL1173055,CHEMBL5366,138.04,6.859995049380551
CHEMBL1173055,CHEMBL6142,839.0,6.0762380391713
CHEMBL1173055,CHEMBL6154,891.25,6.050000457140078
CHEMBL1173055,CHEMBL6164,144.54,6.840011949618013
CHEMBL1173532,CHEMBL222,125.89,6.900008766455316
CHEMBL1173532,CHEMBL228,19.95,7.700057099977233
CHEMBL1173532,CHEMBL238,100.0,7.0
CHEMBL1173655,CHEMBL1824,73.72,7.132414673452963
CHEMBL1173655,CHEMBL203,23.0,7.638272163982407
CHEMBL1173655,CHEMBL4355,79.0,7.102372908709558
CHEMBL1175,CHEMBL222,7450.0,5.127843727251707
CHEMBL1175,CHEMBL228,790.0,6.102372908709558
CHEMBL118,CHEMBL1865,643.0,6.191789027075778
CHEMBL118,CHEMBL2326,2170.0,5.663540266151471
CHEMBL118,CHEMBL260,810.0,6.0915149811213505
CHEMBL118,CHEMBL3025,94.0,7.026872146400302
CHEMBL118,CHEMBL3242,18.0,7.7447274948966935
CHEMBL118,CHEMBL325,1185.0,5.926281649653878
CHEMBL118,CHEMBL3510,689.0,6.161780778092374
CHEMBL118,CHEMBL3729,880.0,6.055517327849832
CHEMBL118,CHEMBL3912,98.0,7.008773924307505
CHEMBL118,CHEMBL3969,93.0,7.031517051446065
CHEMBL118,CHEMBL4789,794.0,6.100179497572904
CHEMBL118,CHEMBL5658,540.0,6.267606240177032
CHEMBL118,CHEMBL6174,540.0,6.267606240177032
CHEMBL1185,CHEMBL214,78.6,7.104577453960593
CHEMBL1186579,CHEMBL233,7.943,8.100015437450608
CHEMBL1186579,CHEMBL236,501.19,6.299997602857746
CHEMBL1189679,CHEMBL1899,13.1,7.882728704344236
CHEMBL119,CHEMBL202,90.0,7.045757490560675
CHEMBL1190199,CHEMBL236,8000.0,5.096910013008056
CHEMBL1190199,CHEMBL237,0.5,9.301029995663981
CHEMBL119385,CHEMBL1841,2100.0,5.6777807052660805
CHEMBL119385,CHEMBL1844,2600.0,5.585026652029182
CHEMBL119385,CHEMBL1862,7200.0,5.142667503568732
CHEMBL119385,CHEMBL1913,8400.0,5.075720713938118
CHEMBL119385,CHEMBL2068,2100.0,5.6777807052660805
CHEMBL119385,CHEMBL2073,2600.0,5.585026652029182
CHEMBL119385,CHEMBL2250,3100.0,5.508638306165727
CHEMBL119385,CHEMBL258,4600.0,5.337242168318426
CHEMBL119385,CHEMBL267,5500.0,5.259637310505756
CHEMBL119385,CHEMBL3905,1700.0,5.769551078621726
CHEMBL119385,CHEMBL3961,160.0,6.795880017344075
CHEMBL119385,CHEMBL3987,1900.0,5.721246399047171
CHEMBL119385,CHEMBL4014,1900.0,5.721246399047171
CHEMBL119385,CHEMBL4134,3100.0,5.508638306165727
CHEMBL119385,CHEMBL4223,3300.0,5.481486060122113
CHEMBL119385,CHEMBL4454,1300.0,5.886056647693163
CHEMBL119385,CHEMBL5072,1600.0,5.795880017344075
CHEMBL119385,CHEMBL5147,1000.0,6.0
CHEMBL119385,CHEMBL5319,1100.0,5.958607314841775
CHEMBL1195136,CHEMBL3880,38.0,7.42021640338319
CHEMBL119625,CHEMBL1641347,3000.0,5.522878745280337
CHEMBL119625,CHEMBL1641348,6600.0,5.180456064458132
CHEMBL1198855,CHEMBL1878,146.0,6.835647144215563
CHEMBL12,CHEMBL1962,16.0,7.795880017344075
CHEMBL12,CHEMBL5112,15.0,7.823908740944319
CHEMBL1200322,CHEMBL228,1.0,9.0
CHEMBL1200374,CHEMBL1978,900.0,6.045757490560675
CHEMBL1200438,CHEMBL3522,505.0,6.296708621881338
CHEMBL1200485,CHEMBL279,12.5,7.903089986991944
CHEMBL1200596,CHEMBL215,3600.0,5.443697499232713
CHEMBL1200596,CHEMBL2903,2400.0,5.619788758288394
CHEMBL1200596,CHEMBL3687,1900.0,5.721246399047171
CHEMBL1200606,CHEMBL1980,7800.0,5.107905397309519
CHEMBL1200629,CHEMBL1743122,3500.0,5.455931955649724
CHEMBL1200629,CHEMBL1743126,1900.0,5.721246399047171
CHEMBL1200681,CHEMBL1798,310.0,6.508638306165727
CHEMBL1200712,CHEMBL335,1300.0,5.886056647693163
CHEMBL1200712,CHEMBL3691,922.0,6.035269078946371
CHEMBL1200781,CHEMBL228,0.78,9.10790539730952
CHEMBL1200803,CHEMBL211,573.7,6.2413151501175586
CHEMBL1200803,CHEMBL216,63.5,7.197226274708024
CHEMBL1200803,CHEMBL245,130.8,6.883392256011751
CHEMBL1200904,CHEMBL1951,1700.0,5.769551078621726
CHEMBL1200904,CHEMBL2039,6.79,8.168130225719498
CHEMBL1200969,CHEMBL1787,4.0,8.397940008672037
CHEMBL1200969,CHEMBL1856,0.1,10.0
CHEMBL1200969,CHEMBL5845,330.0,6.481486060122113
CHEMBL1200986,CHEMBL217,1.8,8.744727494896694
CHEMBL1200986,CHEMBL219,5.8,8.236572006437063
CHEMBL1200986,CHEMBL234,3.5,8.455931955649724
CHEMBL1200993,CHEMBL211,3715.35,5.430000267796054
CHEMBL1201027,CHEMBL1821,0.1585,9.79997073344623
CHEMBL1201027,CHEMBL2035,0.1995,9.700057099977233
CHEMBL1201027,CHEMBL211,1.6,8.795880017344075
CHEMBL1201027,CHEMBL216,0.1259,9.899974269892137
CHEMBL1201027,CHEMBL245,0.81,9.09151498112135
CHEMBL1201066,CHEMBL222,2553.0,5.592949185195749
CHEMBL1201066,CHEMBL228,5720.0,5.242603971206976
CHEMBL1201082,CHEMBL222,4410.0,5.355561410532162
CHEMBL1201082,CHEMBL225,72.0,7.142667503568732
CHEMBL1201082,CHEMBL228,150.0,6.823908740944319
CHEMBL1201087,CHEMBL1833,1.4,8.853871964321762
